Field,Value
"107, Tool Tower, Dr. M. K.","Street,"
"Mumbai - 400001, Maharashtra,",India.
"Tel - 033 465345, eMaili -",ask@xItool.in
STAFF CODE,102 PRESENT DAY: 2
NAME,SAPNA JAIN ABSENT DAY: 2
DESIGNATION,— JRMANAGER HALF DAY: 2
BRANCH,MUMBAI BANK NAME: HDFC BANK
DEPT.,ACCOUNTS BRANCH: MUMBAI
LOAN NO,501 A/CNO: 1245
MONTH,JANUARY 2014 A/C TYPE: SB
"BASIC PAY 30,000.00 | ABSENT","1,000.00"
H.R.A 500.00 |} ADVANCE (HO),"2,500.00"
RENT 700.00 | ADVANCE (FACTORY),500.00
MEDICLAIM,200.00
DUST 200.00 | TAX,300.00
"TRAVELLING 2,000.00 | LOAN AMT",100.00
OTHERS 500.00 | PAYABLE,"4,600.00"
NIGHTS,"1,000.00"
OT,500.00
"Total Earning - 35,900.00 | Total Deductions -","9,200.00"
NET SALARY In Amount -,"31,300.00"
