Field,Value
Demo Company Sdn Bhd END PAYMENT - JANUARY,2019
EMPLOYEE /LINENO.,JEFFOO1 NAME: JEFFREY TOH DATE : 17/7/2019
DEPARTMENT,PRO VCNO.:
BASIC RATE,"3,000.00 1 Monthly"
WORKING DAYS,31.00
BW EO) 2AT [TOF DAILY ATTENDANCE 23.07 EMPLOYEE EPF,319.00
3100 600 08 08 MEAL 93.00 EMPLOYEE SOCSO,19.25
NIGHT SHIFT ALLOWA ~=—10.00 EMPLOYEE ES,7.70
BASIC PAY $.000.00 EMPLOYEE PCB,12.40
EARLY OUT,86.54
OVERTIME HOURLY HOURS AMOUNT LATENESS,14.40
RATE TIME OFF,115
NORMAL OT 21.64 4.00,26.54
REST OT 19.33 38.00,734.44
MONTHLY GROSS,"3,947.05"
EPF ‘YER 377.00 EIS'YER,7.70
SOCSO ‘YER,67.35
YTD AL 00 DAYS [,0.00]
YTD MC .00 DAYS [,14.00]
"3,000.00 820.98 126.07 3,947.05 358.35 102.09 460.44 3,486.61 EMPLOYEE'S",SIGNATURE
